Morfo;Visitor
Diptera que parece Apis só que mais avermehado;Palpada sp.
Diptera que parece Apis, olhos marrons;Palpada sp.
Diptera reto comum;Dioprosopa clavata
Diptera Sorghum;Allograpta sp.
Diptera sp. 1;Diptera sp1
Diptera tem vídeo, parece o do sorghum;Allograpta sp.
Diptera verde metálico médio;Diptera sp9
Diptero que aprece Apis;Palpada sp.
Dipteta laranja já cap.;Diptera sp6
Diptra com abd abd amarelo e tórax branco;Exomalopsis spp.
Diptrea que parece abelha já filmei aqui;Palpada sp.
Ditera com abd fino que dobra;Dioprosopa clavata
Ditera olhos pretos abdomen listrado;Allograpta sp.
eexomalospsis com torax preto e abd com listras amarelas;Exomalopsis spp.
eexomalospsis com torax preto e abd com listras amarelas mas diferente da outra;Exomalopsis spp.
Epantdium tigrinum ? (Megachilidae);Epanthidium tigrinum
Ephantidium tigrinum;Epanthidium tigrinum
Ephantidium tigrinum, acho que interagiu;Epanthidium tigrinum
Ephantidium tigrinum??? Parecia outra;Epanthidium tigrinum
Ephantidium triginum;Epanthidium tigrinum
Esfingideo mt parecido com a da mimosa;Lepidoptera sp18
Euglosa sp. ;Euglossa sp. 1
Euglossa azul;Euglossa sp. 1
Euglossa sp.;Euglossa sp. 1
Euglossinae;Euglossa sp. 1
Euglossinae comum;Euglossa sp. 1
Exmalopsis preta;Exomalopsis spp.
Exmalopsis preta com pontinhos brancos no abd;Exomalopsis spp.
Exo abd preto pernas meio brancas;Exomalopsis spp.
Exo amarela (78);Exomalopsis spp.
Exo bunda listrada (68);Exomalopsis spp.
Exo com torax preto e abd listrado;Exomalopsis spp.
Exo grande preta;Exomalopsis spp.
Exo já cap hj;Exomalopsis spp.
Exo pequena;Exomalopsis spp.
Exo pequena (cap outro dia);Exomalopsis spp.
Exo pequena meio cinza;Exomalopsis spp.
Exo preta;Exomalopsis spp.
Exo preta com abd listrado já cap.;Exomalopsis spp.
Exo preta com listras brancas no abd, tem vídeo esses dias;Exomalopsis spp.
Exo preta grande;Tetrapedia spp.
exo preta n vi mt sobre;Exomalopsis spp.
Exo torax preto lustroso;Exomalopsis spp.
exoalospis pequnea classica daqui, n é a amrelnha é a branca acho;Exomalopsis spp.
exomalopsis 1;Exomalopsis spp.
Exomalopsis;Exomalopsis spp.
Exomalopsis abd com pintinhas;Exomalopsis spp.
Exomalopsis amarela;Exomalopsis spp.
Exomalopsis amarela (Abd listrado em amarelo);Exomalopsis spp.
Exomalopsis amarela 1;Exomalopsis spp.
Exomalopsis amarela com U laranja;Exomalopsis spp.
Exomalopsis amarela com U laranja abd com listras amarelas;Exomalopsis spp.
Exomalopsis amarela nova;Exomalopsis spp.
Exomalopsis bem pequena;Exomalopsis spp.
Exomalopsis cinza;Exomalopsis spp.
Exomalopsis com abd amarelo;Exomalopsis spp.
exomalopsis com abd amarelo acho, mas toda suja de pólen;Exomalopsis spp.
Exomalopsis com abd amarelo e torax com U laranja;Exomalopsis spp.
Exomalopsis com abd bem lustroso, diferente da da Calliandra brevipes, mais acizentada;Exomalopsis spp.
Exomalopsis com abd branco;Exomalopsis spp.
Exomalopsis com abd com pontinhos;Exomalopsis spp.
Exomalopsis com abd com pontinhos = 190;Exomalopsis spp.
Exomalopsis com abd listrado e torax preto;Exomalopsis spp.
Exomalopsis com abd listras brancas;Exomalopsis spp.
Exomalopsis com abd preto ver. Quem é;Exomalopsis spp.
Exomalopsis com abd preto, n tenho ctz;Exomalopsis spp.
Exomalopsis com listras amarelas;Exomalopsis spp.
Exomalopsis com listras amarelas com pernas amarelas, já cap aqui;Exomalopsis spp.
Exomalopsis com listras amarelas no abd;Exomalopsis spp.
Exomalopsis com listras amarelas no abd e torax preto, fazia tempo qiue n via;Exomalopsis spp.
Exomalopsis com listras amarelas pequnea;Exomalopsis spp.
Exomalopsis com listras no abd;Exomalopsis spp.
Exomalopsis com listras no abd n sei qual é;Exomalopsis spp.
Exomalopsis com pintinhas pretas no abd;Exomalopsis spp.
Exomalopsis com pontinhos brancos no abd;Exomalopsis spp.
Exomalopsis com pontinhos no abd;Exomalopsis spp.
exomalopsis com tirax preto e abd com listras amarelas;Exomalopsis spp.
Exomalopsis com tórax bem brilhoso, com U laranja;Exomalopsis spp.
exomalopsis com torax e abd preto;Exomalopsis spp.
Exomalopsis com torax e cabeça laranja e abd meio preto;Exomalopsis spp.
Exomalopsis com torax lustroso e abd listrado;Exomalopsis spp.
Exomalopsis com torax preto ;Exomalopsis spp.
Exomalopsis com U amarelo;Exomalopsis spp.
Exomalopsis com U amarelo e abd listrado em amarelo;Exomalopsis spp.
Exomalopsis com U amarelo ebad com listras amarelas;Exomalopsis spp.
Exomalopsis com U amarelo nas costas;Exomalopsis spp.
Exomalopsis com U amarelo no tórax;Exomalopsis spp.
Exomalopsis com U laranja;Exomalopsis spp.
Exomalopsis com U laranja 1;Exomalopsis spp.
Exomalopsis com U laranja e abd com listras amarelas;Exomalopsis spp.
Exomalopsis com U laranja e abd de listras amarelas;Exomalopsis spp.
Exomalopsis com U laranja nas costas e abd amarelo;Exomalopsis spp.
Exomalopsis com U laranja no torax e abd amarelo;Exomalopsis spp.
Exomalopsis com U laranja no torax e abd com listras amarelas;Exomalopsis spp.
Exomalopsis com U larnaja acho;Exomalopsis spp.
Exomalopsis com U larnja e abd amarelo;Exomalopsis spp.
Exomalopsis com U nas costas;Exomalopsis spp.
Exomalopsis com U no torax;Exomalopsis spp.
exomalopsis comtorax preto lustroso;Exomalopsis spp.
Exomalopsis comU laranja no torax;Exomalopsis spp.
Exomalopsis de ab amarelo com U laranja;Exomalopsis spp.
Exomalopsis de abd com pintinhas pretas no abd;Exomalopsis spp.
Exomalopsis de abd listado em preto e amarelo na ponta;Exomalopsis spp.
Exomalopsis de abd listradinho amarelo;Exomalopsis spp.
Exomalopsis de abd listrado amarelo e preto;Exomalopsis spp.
Exomalopsis de abd preto brilhoso;Exomalopsis spp.
Exomalopsis filmada aqui hoje de manhã;Exomalopsis spp.
Exomalopsis garndona que filmei na asteraceae colorida;Exomalopsis spp.
Exomalopsis grande preta comum aqui;Exomalopsis spp.
Exomalopsis grandinha com abd listrado;Exomalopsis spp.
Exomalopsis listras no abd;Exomalopsis spp.
exomalopsis meio amarelinha;Exomalopsis spp.
Exomalopsis menor mas com listras no abd;Exomalopsis spp.
Exomalopsis menor mas com listras no abd 2.0;Exomalopsis spp.
exomalopsis n sei qual;Exomalopsis spp.
Exomalopsis não sei qual;Exomalopsis spp.
exomalopsis não sei qual é;Exomalopsis spp.
Exomalopsis pequena;Exomalopsis spp.
Exomalopsis pequena com abd listradinho, já cap. aqui;Exomalopsis spp.
Exomalopsis pequena com abd listrado em branco;Exomalopsis spp.
Exomalopsis pequena com pelos brancos no abd;Exomalopsis spp.
Exomalopsis pequena com pernas laranjas;Exomalopsis spp.
Exomalopsis pequena do manjericão;Exomalopsis spp.
Exomalopsis pequena preta no torax lustroso com listras brancas no abd;Exomalopsis spp.
Exomalopsis pequenna preta com cinza;Exomalopsis spp.
exomalopsis pequnea classica daqui;Exomalopsis spp.
Exomalopsis pequnea com abd branco ao lado da abeha de cima, msm vídeo;Exomalopsis spp.
Exomalopsis pequnea com abd branquinho;Exomalopsis spp.
Exomalopsis pequnea com detalhes em branco nas pernas e abd. Mas é bem picola e já foi cap. Acho;Exomalopsis spp.
Exomalopsis ponta do abd amarelinho pequena;Exomalopsis spp.
exomalopsis preta;Exomalopsis spp.
Exomalopsis preta 1;Exomalopsis spp.
Exomalopsis preta com abd amarelo;Exomalopsis spp.
exomalopsis preta com abd de pontos;Exomalopsis spp.
Exomalopsis preta com abd listrado;Exomalopsis spp.
Exomalopsis preta com abd listrado em amarelo;Exomalopsis spp.
Exomalopsis preta com abd listrado em branco;Exomalopsis spp.
Exomalopsis preta com bolinhas no abd;Exomalopsis spp.
exomalopsis preta com listrinhas brancas no abd;Exomalopsis spp.
Exomalopsis preta com pintinhas brancas no abd;Exomalopsis spp.
Exomalopsis preta com torax lustroso;Exomalopsis spp.
Exomalopsis preta doida;Exomalopsis spp.
Exomalopsis preta gorda outra;Exomalopsis spp.
Exomalopsis preta grande;Exomalopsis spp.
exomalopsis preta grande cap 12:30;Exomalopsis spp.
exomalopsis preta n sei qual;Exomalopsis spp.
exomalopsis preta pequnea;Exomalopsis spp.
Exomalopsis spabc;Exomalopsis spp.
exomalopsis tentatva abd listrado ema amrelo;Exomalopsis spp.
Exomalopsiss com listras brancas no abd;Exomalopsis spp.
Exomalosis;Exomalopsis spp.
Exomalosis parece a amarela mas menor;Exomalopsis spp.
Exomalososi preta listra na base, grande;Exomalopsis spp.
exomalospis;Exomalopsis spp.
Exomalospis 1;Exomalopsis spp.
exomalospis amarela;Exomalopsis spp.
exomalospis amarela relativamente gradinha n sei qual;Exomalopsis spp.
exomalospis amarelinha;Exomalopsis spp.
Exomalospis co torax com U laranja e listras amarelas no abd;Exomalopsis spp.
Exomalospis com abd amarelo;Exomalopsis spp.
Exomalospis com abd amarelo e pernas amarelas;Exomalopsis spp.
Exomalospis com abd de listras brancas e torax preto;Exomalopsis spp.
exomalospis com abd listrado clássica daqui, grandinha;Exomalopsis spp.
exomalospis com abd listrado e branco;Exomalopsis spp.
Exomalospis com abd listrado em cinza;Exomalopsis spp.
exomalospis com abd preto;Exomalopsis spp.
exomalospis com abd preto n sei qual;Exomalopsis spp.
Exomalospis com avd listrado em branco;Exomalopsis spp.
Exomalospis com U laranja;Exomalopsis spp.
exomalospis comunzinha, listras brancas no abd;Exomalopsis spp.
Exomalospis de abd preto;Exomalopsis spp.
Exomalospis grandona;Exomalopsis spp.
exomalospis grandona abd listrado, meio amarelada;Exomalopsis spp.
Exomalospis n sei qual;Exomalopsis spp.
exomalospis n sei qual, comum pelo visto;Exomalopsis spp.
Exomalospis pequena com abd lustroso preto;Exomalopsis spp.
Exomalospis pequena do manjericão;Exomalopsis spp.
exomalospis pequnea;Exomalopsis spp.
exomalospis pequnea amarelinha cao. Aqui acho;Exomalopsis spp.
Exomalospis preta com abd preto e pontinhos acho;Exomalopsis spp.
Exomalospis preta com pernas amrelas;Exomalopsis spp.
exomalospis preta gradinha com abd listrado em branco;Exomalopsis spp.
Exomalospis preta já cap. Aqui;Exomalopsis spp.
Exomalospis preta listras brancas;Exomalopsis spp.
Exomalospis scoma bd listrado em branco;Exomalopsis spp.
Exomalospiss com abd amarelo com riscos;Exomalopsis spp.
Exomalospiss com abd grandão, poucas listras brancas;Exomalopsis spp.
Exomalospiss doidona;Exomalopsis spp.
Exomalospiss grande com abd listrado em branco;Exomalopsis spp.
exomalospiss preta com abd acho que com pontos;Exomalopsis spp.
Exomalosps preta com abd listrado em amarelo;Exomalopsis spp.
exomalospsi preta que tentei filmar no tridax;Exomalopsis spp.
Exomalospsis amarela;Exomalopsis spp.
Exomalospsis amarela com U no torax;Exomalopsis spp.
Exomalospsis com abd amarelo;Exomalopsis spp.
Exomalospsis com abd de listras claras pretoe  branco;Exomalopsis spp.
Exomalospsis com abd listrado;Exomalopsis spp.
Exomalospsis com abd preto e listras amarelas. Chamo de amarela mas acho que as das ultimas duas semanas são as mesmas e diferentes das do começo das coletas;Exomalopsis spp.
Exomalospsis com torax preto e abd com lisras brancas;Exomalopsis spp.
Exomalospsis com U laranja ao torax;Exomalopsis spp.
Exomalospsis com U laranja no torax;Exomalopsis spp.
Exomalospsis com U laranja no torax e abd amarelo;Exomalopsis spp.
exomalospsis gradona com abd branco;Exomalopsis spp.
Exomalospsis igual a cap no talinum;Exomalopsis spp.
Exomalospsis mt doida;Exomalopsis spp.
Exomalospsis n sei qual;Exomalopsis spp.
Exomalospsis não sei qual;Exomalopsis spp.
Exomalospsis pequnea comum aqui com abd branco;Exomalopsis spp.
Exomalospsis preta com manchar amarelas;Exomalopsis spp.
exomalospsis preta com polainas n sei exatamente qual;Exomalopsis spp.
Exomaopsis pequena do manjericão;Exomalopsis spp.
exomaospis cheio de polen nas pernas com abd amarelo no abd;Exomalopsis spp.
Exomaplospis pequena;Exomalopsis spp.
Exomapopsis amarela;Exomalopsis spp.
Exomlopsis cinza;Exomalopsis spp.
Exomlospsis preta não vi mais características;Exomalopsis spp.
Falsa monarca (dif.) (Photo);Agraulis maculosa
Falsa monarca vibes (Vídeo horrível);Euptoieta meridiania
Halcitidae cabeça e torax verde escuroe  abd vermelho;Halictidae spp.
Halicitidae verde pequena (73);Halictidae spp.
Halictidae magrinha verde parece a comum = 191;Halictidae spp.
Halictidae preta clássica da Ipomea amarela;Halictidae spp.
Halictidae preta clássica daqui;Halictidae spp.
Halictidae sp16;Halictidae spp.
Halictidae vede comum me´da classica daqui;Halictidae spp.
Halictidae verde amarelada pequena dia 20/11;Halictidae spp.
Halictidae verde com vermelho pequena;Halictidae spp.
Halictidae verde comum n amarelada;Halictidae spp.
halictidae verde média escura;Halictidae spp.
hallciitdae preta classica;Halictidae spp.
Hallciitdae preta média;Halictidae spp.
Hallciitdae vede média;Halictidae spp.
hallciitdae verde amarelada cap. Aqui esses dias;Halictidae spp.
hallciitdae verde com abd vermelho;Halictidae spp.
hallciitdae verde com dourado classica daqui;Halictidae spp.
Hallciitdae verde com dourado n deu pra ver mt;Halictidae spp.
hallciitdae verde comum aqui, já filmei mil vezes;Halictidae spp.
hallciitdae verde comum já cap.;Halictidae spp.
hallciitdae verde comum, foi essa que vi no Cosmos;Halictidae spp.
hallciitdae verde média;Halictidae spp.
hallcitdae verde cap aqui hj, vários videos na de 10 min;Halictidae spp.
Hallcitdae verde com doruado epquena;Halictidae spp.
Hallcitiade verde com dourado e abd vemelho quase preto;Halictidae spp.
hallcitidae abd amrrom e torax e cabeça dourado;Halictidae spp.
Hallcitidae acho que com abd vermelho já vista aqui;Halictidae spp.
Hallcitidae azul com abd triangular;Halictidae spp.
hallcitidae cabeça e torax dourado com abd vermelho;Halictidae spp.
hallcitidae cabeça e torax dourado e abd marrom;Halictidae spp.
hallcitidae cabeça e torax dourado e abd marrom, iguala  do cravinho;Halictidae spp.
Hallcitidae cabeça e tórax verde com abd vermelho;Halictidae spp.
hallcitidae cabeça e torax verde e abd vermeho;Halictidae spp.
hallcitidae cabeça e torax verde e abd vermelho;Halictidae spp.
Hallcitidae cabeça e torax verde e abd vermelho 1;Halictidae spp.
Hallcitidae com abd e torax dourado e abd vermelho mt escuro, marrom;Halictidae spp.
Hallcitidae com abd preto e torax verdeclassica e vista recentemetne em alguem;Halictidae spp.
Hallcitidae com abd vremelho e cabeça e torax verde menor;Halictidae spp.
Hallcitidae com cabeça e torax verde e abd vermelho;Halictidae spp.
Hallcitidae commabd marrom;Halictidae spp.
Hallcitidae de abd triangular verde azulada já cap.;Halictidae spp.
Hallcitidae dourada com abd marrom;Halictidae spp.
Hallcitidae dourada e abd vermelho;Halictidae spp.
Hallcitidae dourado com abd vermelho;Halictidae spp.
hallcitidae magrinha preta;Halictidae spp.
Hallcitidae média parece a comum mas pequena;Halictidae spp.
Hallcitidae média verde claro;Halictidae spp.
hallcitidae mepdia preta;Halictidae spp.
hallcitidae oequena;Halictidae spp.
Hallcitidae pequena n é verde;Halictidae spp.
hallcitidae pequena verde;Halictidae spp.
Hallcitidae pequena verde com dourado;Halictidae spp.
Hallcitidae preta;Halictidae spp.
Hallcitidae preta clássica;Halictidae spp.
Hallcitidae preta classica daqui;Halictidae spp.
hallcitidae preta classica dela;Halictidae spp.
Hallcitidae preta com abd trianuglar;Halictidae spp.
Hallcitidae preta diferentona;Halictidae spp.
hallcitidae preta magrinha;Halictidae spp.
Hallcitidae preta pequena;Halictidae spp.
hallcitidae preta pequnea;Halictidae spp.
Hallcitidae preta que cap ontem aqui;Halictidae spp.
Hallcitidae preta que faleiq eu cap.;Halictidae spp.
Hallcitidae que n e verde peuqnea;Halictidae spp.
Hallcitidae que parece a comum mas menor;Halictidae spp.
Hallcitidae que sempre vejo aqui e foi cap hj no manejricão;Halictidae spp.
hallcitidae vede com dourado e abd vermelho rubi;Halictidae spp.
Hallcitidae vede comum mais clara;Halictidae spp.
Hallcitidae verde;Halictidae spp.
Hallcitidae verde azulada que falei ter visto ontem na Althernathera tenella;Halictidae spp.
Hallcitidae verde claro com abd rubi;Halictidae spp.
Hallcitidae verde claro dourado com abd rubi;Halictidae spp.
hallcitidae verde claro média;Halictidae spp.
Hallcitidae verde claro média 1;Halictidae spp.
Hallcitidae verde com abd vemerlho já vista aqui;Halictidae spp.
Hallcitidae verde com abd vermelho;Halictidae spp.
hallcitidae verde com dourada cçassica daqui;Halictidae spp.
hallcitidae verde com dourado;Halictidae spp.
hallcitidae verde com dourado acho que aclássica daqui;Halictidae spp.
hallcitidae verde com dourado ca´ssica daqui;Halictidae spp.
Hallcitidae verde com dourado comum aqui;Halictidae spp.
hallcitidae verde com dourado e abd rubi;Halictidae spp.
hallcitidae verde com dourado e abd vermelho 1;Halictidae spp.
Hallcitidae verde com dourado e abd vermelho;Halictidae spp.
Hallcitidae verde com dourado e abd vermelo;Halictidae spp.
Hallcitidae verde com dourado média;Halictidae spp.
Hallcitidae verde com dourado parecia a da Penicilina;Halictidae spp.
Hallcitidae verde com dourado pequena;Halictidae spp.
Hallcitidae verde com torax preto;Halictidae spp.
Hallcitidae verde comum;Halictidae spp.
Hallcitidae verde comum aqui bem amarelo claro;Halictidae spp.
hallcitidae verde comum já cap 1;Halictidae spp.
Hallcitidae verde comum já cap.;Halictidae spp.
hallcitidae verde comum já cap.;Halictidae spp.
hallcitidae verde comum média 1;Halictidae spp.
Hallcitidae verde comum mpedia classica daqui;Halictidae spp.
Hallcitidae verde comum só que menor;Halictidae spp.
hallcitidae verde dourada classica aqui;Halictidae spp.
Hallcitidae verde escuro;Halictidae spp.
hallcitidae verde mais clara;Halictidae spp.
Hallcitidae verde média;Halictidae spp.
hallcitidae verde média 1;Halictidae spp.
hallcitidae verde média classica daqui,a cho que a mais clarinha;Halictidae spp.
Hallcitidae verde média commum aqui;Halictidae spp.
Hallcitidae verde média comum;Halictidae spp.
Hallcitidae verde média filmei hj;Halictidae spp.
hallcitidae verde média já cap. Aqui;Halictidae spp.
Hallcitidae verde média magrinha;Halictidae spp.
hallcitidae verde média pra pequena;Halictidae spp.
Hallcitidae verde menor já filmei varias vezes, parece comum mas menor;Halictidae spp.
Hallcitidae verde muito escura;Halictidae spp.
Hallcitidae verde parece a comum;Halictidae spp.
Hallcitidae verde parece com a comum do jardim;Halictidae spp.
hallcitidae verde sem amarelo, verde mesmo;Halictidae spp.
Hallcitidae vinho toda, clássica daqui, já filmei ;Halictidae spp.
Hallcitidar verde mpedia classica daqui;Halictidae spp.
Hallcitideae torax e cabeça e abd vermelho;Halictidae spp.
Hallctidae verde comum já cap.;Halictidae spp.
Hallicidae verde comum já cap.;Halictidae spp.
Hallicidae vere com amarelo meio grande, fimada esses dias.;Halictidae spp.
hallicitade dourada com verde comum aqui;Halictidae spp.
Hallicitade verde comum (já cap.);Halictidae spp.
Hallicitdae preta com verde escuro (acho que = do Talinum e MSC);Halictidae spp.
Hallicitdae preta já cap.;Halictidae spp.
hallicitdae verde azulada;Halictidae spp.
hallicitdae verde com dourado classica;Halictidae spp.
Hallicitdae verde com dourado pequena;Halictidae spp.
Hallicitdae verde comum;Halictidae spp.
Hallicitdae verde comum (já cap.);Halictidae spp.
hallicitdae verde comum acho, já filmei aqui;Halictidae spp.
hallicitdae verde comum já cap.1;Halictidae spp.
Hallicitdae verde comum já cap.;Halictidae spp.
Hallicitdae verde comum menor;Halictidae spp.
Hallicitdae verde escuro;Halictidae spp.
hallicitdae verde média;Halictidae spp.
hallicitdae verdinha maior, mpedia perninhas meio alguma coisa, foto no pote;Halictidae spp.
Hallicitidae (15);Halictidae spp.
Hallicitidae (16);Halictidae spp.
Hallicitidae (24);Halictidae spp.
Hallicitidae abd vermelho e torax dourado;Halictidae spp.
hallicitidae comum dessa planta, já cap.;Halictidae spp.
Hallicitidae média com torax preta;Halictidae spp.
Hallicitidae pequena verde claro (tons em amarelo);Halictidae spp.
Hallicitidae preta média clássica daqui;Halictidae spp.
Hallicitidae verde (coletada no dia de teste em 4 plantas);Halictidae spp.
Hallicitidae verde = comum mas com tórax verde amarelado;Halictidae spp.
Hallicitidae verde clara (com tons em amarelo);Halictidae spp.
Hallicitidae verde claro (53);Halictidae spp.
Hallicitidae verde com dourado pequena cap na Malv.;Halictidae spp.
Hallicitidae verde comum;Halictidae spp.
Hallicitidae verde comum (já capturada);Halictidae spp.
Hallicitidae verde comum (já capturada) (base);Halictidae spp.
Hallicitidae verde comum 1;Halictidae spp.
Hallicitidae verde comum só que pequena (já capturada) ;Halictidae spp.
Hallicitidae verde média;Halictidae spp.
Hallicitidae verde pequena (já capturada);Halictidae spp.
Hallictdae verde comum;Halictidae spp.
hallictdae verde comum já cap.;Halictidae spp.
hallictdae verde musgo mais escura;Halictidae spp.
Hallictiadae pequena;Halictidae spp.
Hallictiadae verde com dourado clássica daqui;Halictidae spp.
Hallictida;Halictidae spp.
Hallictidae  verde comum;Halictidae spp.
Hallictidae (na mexicana) (Photo);Halictidae spp.
Hallictidae (Pote C/A);Halictidae spp.
Hallictidae 11;Halictidae spp.
Hallictidae 2;Halictidae spp.
Hallictidae 3;Halictidae spp.
hallictidae abd e torax dourado e abd marrom, do cravinho;Halictidae spp.
Hallictidae abd preto e atorax verde;Halictidae spp.
Hallictidae abd rubi;Halictidae spp.
Hallictidae abd verde parecida co aquela que tem tórax preto e perna alaranjada da Ipomea;Halictidae spp.
Hallictidae cabeça com abd e torax dourado e abd rubi;Halictidae spp.
Hallictidae cabeça com abd e torax dourado e abd rubi quase marrom;Halictidae spp.
Hallictidae cabeça e torax dourado e abd marrom;Halictidae spp.
Hallictidae cabeça e torax dourado e abd rubi;Halictidae spp.
Hallictidae cabeça e torax dourado e abd vermelho;Halictidae spp.
Hallictidae cabeça e torax dourado e abe rubi, não é marrom nessas;Halictidae spp.
Hallictidae cabeça e torax verde com abd vermelho;Halictidae spp.
Hallictidae cabeça e torax verde e abd preto;Halictidae spp.
Hallictidae cabeça e torax verde e abd vermelho;Halictidae spp.
Hallictidae cabeçça e torax dourado e abd vermelho;Halictidae spp.
Hallictidae clássica daqui;Halictidae spp.
Hallictidae com abd rubi e torax dourado;Halictidae spp.
Hallictidae com abd triangular azulada já cap.;Halictidae spp.
Hallictidae com abd triangular e toda azulada;Halictidae spp.
Hallictidae com abd triangular meio azulada já cap.;Halictidae spp.
Hallictidae com abd vermelho;Halictidae spp.
Hallictidae com abd vermelho e torax verde grama;Halictidae spp.
Hallictidae com abd vermelho e torax verde não amarelado. Verde grama;Halictidae spp.
Hallictidae com abd vermelho rubi e cabeça e torax dourado;Halictidae spp.
Hallictidae com abg traingular e azulada;Halictidae spp.
Hallictidae com outras características;Halictidae spp.
Hallictidae com torax e cabeça verde e abd preto;Halictidae spp.
Hallictidae com torax preto e abd verde bem escura;Halictidae spp.
Hallictidae comum aqui verde, já vista;Halictidae spp.
Hallictidae de abd vermelho;Halictidae spp.
Hallictidae dourada (Já cap.);Halictidae spp.
Hallictidae dourada com abd vermelho;Halictidae spp.
Hallictidae dourada com adomen rubi;Halictidae spp.
Hallictidae dourada verde pequena;Halictidae spp.
Hallictidae dourado com abd rubi;Halictidae spp.
Hallictidae dourado com abd vermelho;Halictidae spp.
Hallictidae erde com dourado e abd marrom;Halictidae spp.
Hallictidae escura média;Halictidae spp.
Hallictidae estranha 1;Halictidae spp.
Hallictidae estranha 2;Halictidae spp.
Hallictidae estranha 3;Halictidae spp.
Hallictidae estranha preta;Halictidae spp.
Hallictidae grandona;Coelioxys spp.
Hallictidae igual a do Cosmos cap. Agr;Halictidae spp.
Hallictidae já cap. Aqui preta acho média;Halictidae spp.
Hallictidae já capturada;Halictidae spp.
Hallictidae já filmada aqui mil vezes, uma media;Halictidae spp.
hallictidae media preta;Halictidae spp.
Hallictidae média verde escuro;Halictidae spp.
Hallictidae meio esverdeada (Photo);Halictidae spp.
hallictidae mpedia verde;Halictidae spp.
Hallictidae mt pequena esverdeada;Halictidae spp.
Hallictidae mt pequnea;Halictidae spp.
Hallictidae muito pequena não sei qual é;Halictidae spp.
Hallictidae muito pequnea;Halictidae spp.
Hallictidae paracida com a que eu capturei hoje (177);Halictidae spp.
Hallictidae parece a comum menor;Halictidae spp.
Hallictidae parecida com a verde comum pelo que eu disse (vídeo curto 23/11/2021 9:58);Halictidae spp.
Hallictidae pequena;Halictidae spp.
Hallictidae pequena avermelhada;Halictidae spp.
Hallictidae pequena avermelhada - 171;Halictidae spp.
Hallictidae pequena magrinha, n é verde;Halictidae spp.
Hallictidae pequena mais aveermelhada;Halictidae spp.
Hallictidae pequena não vi mt coisa;Halictidae spp.
Hallictidae pequena pra média parece a comum;Halictidae spp.
Hallictidae pequena verde;Halictidae spp.
Hallictidae pequena verde amarelada;Halictidae spp.
Hallictidae pequena verde amarelada com abdomen avermelhado;Halictidae spp.
Hallictidae pequena verde com dourado e abd vermelho;Halictidae spp.
Hallictidae pequena verde com partes douradas já cap. Na Malv;Halictidae spp.
Hallictidae pequena verde magrinha (acho que a com abd preto) (Ver. Se cap.);Halictidae spp.
Hallictidae pequnea verde com dourado;Halictidae spp.
Hallictidae preta;Halictidae spp.
hallictidae preta 1;Halictidae spp.
Hallictidae preta (Comum aqui);Halictidae spp.
Hallictidae preta acho;Halictidae spp.
hallictidae preta aho que pe a da ipomea amarela;Halictidae spp.
Hallictidae preta clásica;Halictidae spp.
Hallictidae preta clássica;Halictidae spp.
hallictidae preta clássica 1;Halictidae spp.
Hallictidae preta classica daqui;Halictidae spp.
Hallictidae preta clássica daqui depois;Halictidae spp.
Hallictidae preta com abd incurvado pra baixo (Se pa já cap.) já vi no funcho tbm , mas n anotei;Halictidae spp.
Hallictidae preta com abd triangular ;Halictidae spp.
Hallictidae preta com vinho;Halictidae spp.
Hallictidae preta commum na ipomea amarela;Halictidae spp.
Hallictidae preta dnv?;Halictidae spp.
Hallictidae preta já cap aqui depois;Halictidae spp.
hallictidae preta magrinha;Halictidae spp.
hallictidae preta média;Halictidae spp.
Hallictidae preta media 1;Halictidae spp.
Hallictidae pretinha ou verde escuro;Halictidae spp.
Hallictidae que aprece a comum;Halictidae spp.
Hallictidae que parece a comum;Halictidae spp.
Hallictidae super diferente não consegui capturar;Halictidae spp.
Hallictidae torax dourado e abd vermelho;Halictidae spp.
Hallictidae torax preto e vede no abd;Halictidae spp.
Hallictidae torax verde abd preto;Halictidae spp.
hallictidae totalmente dourada;Halictidae spp.
Hallictidae vede comum já cap.;Halictidae spp.
Hallictidae vede média;Halictidae spp.
Hallictidae verde ;Halictidae spp.
Hallictidae verde 2;Halictidae spp.
Hallictidae verde 3;Halictidae spp.
Hallictidae verde 4;Halictidae spp.
Hallictidae verde amarelada;Halictidae spp.
hallictidae verde amarelada acho media;Halictidae spp.
Hallictidae verde azulada (104);Halictidae spp.
Hallictidae verde azulada mpedia;Halictidae spp.
Hallictidae verde bem escura a preta;Halictidae spp.
Hallictidae verde cap. (130);Halictidae spp.
Hallictidae verde clara;Halictidae spp.
Hallictidae verde clara media;Halictidae spp.
Hallictidae verde clara parecida com a comum mas mais clara;Halictidae spp.
Hallictidae verde clara pequena;Halictidae spp.
Hallictidae verde claro;Halictidae spp.
Hallictidae verde claro com abd vermelho;Halictidae spp.
Hallictidae verde claro meio dourado e abd vermelho;Halictidae spp.
Hallictidae verde classica daqui;Halictidae spp.
Hallictidae verde com abd meio rubi/marrom;Halictidae spp.
Hallictidae verde com abd preto;Halictidae spp.
Hallictidae verde com abd preto (Já cap.);Halictidae spp.
Hallictidae verde com abd vermehlo;Halictidae spp.
Hallictidae verde com abd vermelho;Halictidae spp.
Hallictidae verde com amarelo;Halictidae spp.
Hallictidae verde com amarelo média;Halictidae spp.
